"year","county","fips","violent_crime","murder","rape_old","rape_new","robbery","aggravated_assault","property_crime","burglary","larceny_theft","motor_vehicle_theft","arson"
2016,"Cass",17017,4,0,0,NA,0,4,6,1,4,1,0
2016,"Champaign",17019,110,3,21,NA,12,74,655,202,419,34,7
2016,"Clark",17023,5,1,0,NA,0,4,39,11,23,5,1
2016,"Clay",17025,6,0,0,NA,1,5,54,23,30,1,0
2016,"Clinton",17027,9,0,1,NA,0,8,64,11,50,3,0
2016,"Coles",17029,25,0,2,NA,2,21,93,33,54,6,1
2016,"Cook",17031,167,7,29,NA,22,109,689,162,447,80,16
2016,"Crawford",17033,4,0,0,NA,0,4,45,18,25,2,2
2016,"Cumberland",17035,3,0,1,NA,0,2,22,9,12,1,0
2016,"DeKalb",17037,34,2,11,NA,3,18,148,25,118,5,2
2016,"De Witt",17039,9,0,5,NA,1,3,25,10,15,0,1
2016,"Douglas",17041,4,0,0,NA,0,4,29,7,20,2,0
2016,"DuPage",17043,73,1,8,NA,20,44,764,140,586,38,0
2016,"Effingham",17049,18,0,2,NA,1,15,161,48,106,7,2
2016,"Fayette",17051,8,0,4,NA,0,4,88,20,63,5,1
2016,"Ford",17053,19,0,6,NA,2,11,84,25,50,9,5
2016,"Franklin",17055,30,0,0,NA,0,30,262,93,167,2,0
2016,"Fulton",17057,14,1,2,NA,3,8,102,40,57,5,1
2016,"Gallatin",17059,4,0,0,NA,0,4,26,5,20,1,0
2016,"Greene",17061,4,0,1,NA,0,3,32,13,19,0,2
2016,"Grundy",17063,11,0,5,NA,0,6,146,38,99,9,1
2016,"Hamilton",17065,4,0,0,NA,0,4,29,7,19,3,1
2016,"Hancock",17067,7,0,1,NA,1,5,102,39,59,4,0
2016,"Hardin",17069,6,0,0,NA,0,6,36,6,25,5,0
2016,"Henry",17073,4,0,0,NA,2,2,46,14,31,1,0
2016,"Iroquois",17075,18,1,4,NA,1,12,167,67,87,13,3
2016,"Jackson",17077,21,0,1,NA,0,20,242,79,152,11,1
2016,"Jefferson",17081,42,0,5,NA,0,37,211,83,117,11,2
2016,"Jersey",17083,11,0,6,NA,0,5,107,45,59,3,0
2016,"Jo Daviess",17085,5,0,2,NA,0,3,74,25,40,9,1
2016,"Johnson",17087,34,0,0,NA,0,34,68,16,48,4,0
2016,"Kane",17089,80,0,15,NA,5,60,511,135,349,27,5
2016,"Kankakee",17091,45,5,1,NA,6,33,366,158,185,23,17
2016,"Kendall",17093,36,0,8,NA,4,24,222,71,140,11,4
2016,"Knox",17095,38,0,3,NA,3,32,150,50,96,4,0
2016,"Lake",17097,90,0,20,NA,18,52,1055,270,733,52,7
2016,"LaSalle",17099,41,0,18,NA,5,18,302,101,188,13,0
2016,"Lee",17103,42,1,0,NA,0,41,130,60,62,8,2
2016,"Livingston",17105,22,0,12,NA,4,6,180,46,129,5,1
2016,"Logan",17107,7,0,1,NA,0,6,58,28,23,7,0
2016,"McDonough",17109,5,0,0,NA,0,5,45,12,33,0,0
2016,"McHenry",17111,74,0,17,NA,2,55,275,53,208,14,0
2016,"McLean",17113,20,2,5,NA,0,13,99,34,58,7,0
2016,"Macon",17115,28,0,5,NA,4,19,217,48,167,2,1
2016,"Macoupin",17117,10,1,0,NA,0,9,150,30,113,7,0
2016,"Madison",17119,119,0,17,NA,16,86,1023,239,731,53,6
2016,"Marion",17121,22,0,5,NA,0,17,86,47,35,4,0
2016,"Marshall",17123,7,0,3,NA,0,4,41,21,16,4,0
2016,"Mason",17125,16,0,6,NA,1,9,76,23,47,6,3
2016,"Massac",17127,9,1,1,NA,1,6,54,20,32,2,2
2016,"Menard",17129,4,0,2,NA,1,1,31,8,23,0,0
2016,"Mercer",17131,15,0,2,NA,1,12,64,29,32,3,1
2016,"Monroe",17133,3,0,1,NA,0,2,42,13,28,1,0
2016,"Montgomery",17135,1,0,0,NA,1,0,122,42,80,0,1
2016,"Morgan",17137,19,0,5,NA,2,12,106,39,62,5,1
2016,"Ogle",17141,13,0,3,NA,2,8,181,27,147,7,0
2016,"Peoria",17143,101,0,15,NA,15,71,833,166,615,52,15
2016,"Perry",17145,10,0,1,NA,0,9,51,12,34,5,0
2016,"Piatt",17147,22,0,1,NA,0,21,105,31,69,5,1
2016,"Pike",17149,6,0,4,NA,0,2,81,31,49,1,0
2016,"Putnam",17155,1,0,0,NA,0,1,14,6,7,1,0
2016,"Randolph",17157,0,0,0,NA,0,0,27,15,10,2,0
2016,"Richland",17159,13,0,1,NA,0,12,67,30,28,9,1
2016,"Rock Island",17161,41,0,6,NA,4,31,304,64,239,1,3
2016,"St. Clair",17163,99,2,20,NA,24,53,632,356,238,38,6
2016,"Sangamon",17167,151,1,36,NA,17,97,602,211,343,48,7
2016,"Schuyler",17169,6,0,0,NA,0,6,2,1,1,0,0
2016,"Scott",17171,0,0,0,NA,0,0,25,11,14,0,0
2016,"Stark",17175,0,0,0,NA,0,0,41,10,28,3,0
2016,"Stephenson",17177,9,0,5,NA,1,3,163,47,104,12,7
2016,"Tazewell",17179,40,0,15,NA,0,25,171,55,114,2,1
2016,"Union",17181,24,0,15,NA,0,9,84,25,56,3,0
2016,"Vermilion",17183,81,0,22,NA,7,52,448,130,297,21,1
2016,"Wabash",17185,0,0,0,NA,0,0,17,5,10,2,0
2016,"Warren",17187,9,0,1,NA,0,8,68,22,46,0,0
2016,"Washington",17189,18,0,0,NA,0,18,44,12,29,3,0
2016,"White",17193,21,0,0,NA,0,21,149,50,94,5,1
2016,"Whiteside",17195,28,0,5,NA,0,23,70,15,53,2,0
2016,"Will",17197,128,5,19,NA,25,79,896,309,513,74,14
2016,"Williamson",17199,9,0,4,NA,0,5,297,87,195,15,1
2016,"Winnebago",17201,134,3,34,NA,20,77,874,285,530,59,7
2016,"Woodford",17203,4,0,2,NA,0,2,106,26,72,8,2
