fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
157,Randolph,31379,32400,31800,32500,32500,33100,33800,34500,34900,35200,35652,35761,35825,35810,35461,35439,35409,35150,35131,34583,34500,34457,34260,34129,34367,34254,34032,33795,33687,33899,33910,34127,33512,33410,33714,33588,33688,33598,33584,33528,33456,33269,32947,32915,32869,32852,32597,32423
159,Richland,16829,17200,17300,17500,17500,17700,17700,17800,17700,18000,17587,18260,18515,18416,18243,17974,17447,16947,16560,16545,16512,16556,16561,16468,16568,16491,16420,16513,16387,16212,16259,16162,16326,16305,16270,16258,16171,16153,16061,16229,16207,16219,16165,16068,16061,16029,15858,15901
161,Rock Island,166734,166600,167300,166800,168400,169100,169000,167800,167200,166300,166759,167781,166165,164006,162115,158931,155640,152819,150372,148723,148688,149563,150439,150912,150646,150475,149856,149937,150027,149961,149134,148734,148286,147384,147291,147067,147131,147918,147501,147552,147632,147256,147065,146804,146063,146133,145472,144808
163,St. Clair,285591,282300,284700,280800,275900,274700,273400,271200,271800,271700,267531,267050,266073,265569,265028,265155,266545,266527,264487,262852,262628,261785,261689,264082,263606,262499,261907,260631,258286,256201,256462,256540,257952,258448,260214,261255,263445,264764,266518,268489,270406,270088,268785,267065,265729,264052,263120,262479
165,Saline,25721,26700,27300,26700,26500,26700,27200,27300,27200,27400,28448,29020,28953,29025,28698,28477,28182,27912,27452,26551,26501,26479,26711,27015,27028,26881,27076,26897,26946,26878,26603,26249,26060,25832,25763,25526,25482,25390,25140,24911,24937,24959,24981,24892,24612,24548,24253,24102
167,Sangamon,161335,165700,166400,168300,169000,173100,176300,177200,176500,176200,176070,175720,175162,175971,176144,176512,175827,176187,177185,178386,178688,181315,184247,186941,189337,189592,189969,189638,189441,188957,189152,189924,190756,191339,191885,192432,193317,194025,195094,196180,197833,198925,199247,199037,198997,198712,197591,196452
169,Schuyler,8135,7900,7800,8100,8000,8000,8100,8100,8200,8200,8365,8356,8237,8149,7993,7809,7676,7597,7549,7498,7502,7515,7447,7506,7479,7593,7490,7442,7333,7248,7199,7123,7175,7236,7374,7508,7513,7545,7543,7489,7545,7485,7486,7425,7330,7032,7053,7035
171,Scott,6096,6200,6400,6300,6300,6300,6300,6300,6100,6200,6142,6095,6059,5984,5894,5886,5815,5747,5744,5644,5633,5573,5622,5564,5579,5584,5539,5543,5541,5515,5549,5541,5505,5507,5467,5457,5392,5388,5373,5373,5335,5232,5295,5234,5204,5092,5055,5002
173,Shelby,22589,22600,23100,23200,23400,23600,23700,23700,23500,23600,23923,23973,23630,23464,23294,23146,22891,22653,22595,22261,22300,22373,22472,22493,22578,22747,22948,23022,23072,22973,22850,22702,22656,22625,22484,22445,22379,22314,22398,22386,22344,22290,22233,22164,22048,21775,21727,21719
175,Stark,7510,7500,7500,7300,7300,7300,7200,7300,7200,7300,7389,7371,7252,7160,7070,7020,6930,6786,6633,6534,6541,6460,6437,6450,6414,6440,6444,6405,6415,6368,6317,6308,6268,6196,6172,6136,6156,6143,6109,6043,5967,5839,5937,5883,5813,5788,5506,5434
177,Stephenson,48861,48800,49000,49100,49100,48900,48800,48600,48700,49300,49536,50466,49842,49532,49362,49232,48768,48462,48250,48052,48118,48255,48513,48801,49073,49031,49233,49308,49195,49194,48920,48625,48367,48503,48479,48105,47917,47794,47805,47792,47680,47396,46973,46782,46435,45749,45540,45054
179,Tazewell,118649,121500,124100,124800,125800,127100,128500,129200,130000,130500,132078,131662,130451,129168,127568,125048,122898,122047,122266,123692,123887,124456,125071,125169,125572,127764,127753,128021,128327,128540,128520,128468,128722,128770,129656,130784,131804,133131,133893,135054,135447,135742,136094,136372,135707,134800,133967,133526
181,Union,16071,16500,16400,16400,16200,16300,16600,16900,16800,16900,17765,18196,18043,18277,18266,18265,18302,18180,18074,17619,17609,17699,17924,18020,18034,18151,18281,18307,18272,18353,18267,18116,18092,18116,18048,18071,18082,18066,17965,17909,17760,17702,17632,17559,17447,17408,17115,17000
183,Vermilion,97047,97400,97800,98100,97700,97600,98200,97800,97800,96900,95222,94596,92998,92758,92141,91584,91551,90909,89831,88257,88155,87986,87944,87738,87922,86570,85298,85274,84996,84276,83821,83646,83299,82996,82955,82728,82715,82258,81930,81710,81595,81358,80764,80418,79728,79282,78560,77909
185,Wabash,12841,13100,13200,13000,13400,13300,13700,13900,13700,13500,13713,14007,13913,14021,13939,13824,13639,13496,13388,13111,13106,13169,13099,13181,13072,13139,12971,13030,12966,12969,12895,12755,12640,12561,12486,12451,12354,12237,12158,12040,11933,11829,11716,11624,11549,11542,11511,11489
187,Warren,21595,21600,22000,22000,22000,22000,22200,22300,22300,22000,21943,22155,21638,21482,21084,20759,20445,19853,19572,19181,19160,19223,19255,19015,19035,19097,18905,18971,18958,18870,18680,18471,18388,18227,17894,17874,17839,17828,17665,17689,17716,17843,17785,17704,17874,17527,17307,17167
189,Washington,13780,14200,14600,14400,14500,14500,14700,14900,14600,15100,15472,15646,15517,15438,15219,15230,15125,15109,15229,14965,14963,14860,14796,14939,15037,15104,15155,15283,15240,15143,15162,15258,15129,15189,15106,14950,15008,14890,14855,14755,14699,14586,14611,14404,14337,14270,14210,14030
191,Wayne,17004,17100,17200,17400,17400,17500,17600,17700,17700,18200,18059,18519,18613,18794,18612,18403,18247,17779,17553,17241,17217,17022,17018,17077,17142,17157,17141,17152,17108,17203,17112,17068,17007,16947,16881,16910,16829,16951,16930,16788,16736,16620,16621,16616,16543,16423,16573,16495
193,White,17312,16900,16800,16900,16800,16900,17400,17500,17400,17600,17864,18333,18403,18168,18086,17934,17727,17432,16982,16522,16481,16359,16143,15972,15827,15822,15674,15580,15469,15403,15333,15286,15138,15011,15089,15074,14942,14796,14868,14767,14642,14622,14582,14526,14374,14327,14088,13938
195,Whiteside,62877,63600,64100,64600,64500,64700,65200,64900,65000,66300,65970,65666,64356,63443,62828,62313,61428,61037,60807,60186,60156,60583,60734,60662,60785,60828,60957,60859,60719,60658,60615,60511,60022,59489,59352,59094,59033,58819,58784,58667,58472,58151,57627,57274,56876,57079,56541,56118
197,Will,247825,254000,264200,274800,281100,290800,299300,307000,313200,319600,324460,326457,325943,326758,328511,330895,334246,339236,344729,357313,359459,367887,376477,389030,402712,418351,434620,450816,467549,486207,507629,530086,553714,579547,605934,627610,650779,664048,671392,674970,678828,680400,682187,683708,685419,687263,689731,692661
199,Williamson,49021,50400,51500,52000,52400,53000,53700,54400,55500,56700,56538,57980,57917,58112,58384,58557,58539,58708,58365,57733,57715,57879,58621,59111,59955,60430,60628,61194,61372,61476,61279,61737,62137,62510,63379,63875,64424,65201,65674,66229,66433,66741,66770,67088,67008,67466,67640,67328
201,Winnebago,246623,245500,244700,246200,247400,246800,246000,245700,247400,247700,250884,251412,249698,248221,247853,249140,249009,249410,249652,252913,253721,258085,261397,264649,266904,269020,271688,273489,275161,276752,278981,280009,281162,283230,284337,286178,289405,293991,295726,295612,295151,293667,291923,290845,288542,287078,286088,284778
203,Woodford,28012,28300,28800,28800,29300,30000,30500,31200,32000,31900,33320,33744,33563,33127,32805,32304,32654,32474,32006,32653,32817,33379,33453,33686,33897,34437,34656,34781,35144,35449,35499,35559,35698,36041,36514,37032,37385,37961,38452,38675,38640,38913,38925,39155,39187,39227,38933,38726
