fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
35,Cumberland,9772,9700,10100,10300,10400,10600,10600,10900,11000,10900,11062,11107,10966,10955,10927,10879,10792,10753,10744,10670,10692,10773,10832,10940,11036,11096,11198,11186,11170,11186,11318,11238,11171,11066,11078,11057,11103,11077,11100,11044,11041,11068,10936,10871,10833,10898,10892,10908
37,DeKalb,71654,71700,72200,70900,71400,72600,73100,73700,72900,74000,74628,74853,74399,73711,72697,72978,74011,74844,75789,77932,78347,79564,80421,81682,82850,82810,83947,85078,86402,88010,89237,90545,91951,94096,96106,98438,101437,103746,104601,105146,105119,104520,104693,104802,105462,104352,104447,104733
39,De Witt,16975,17000,17400,17600,17400,17600,17700,17900,18100,18100,18108,18168,17861,17673,17584,17442,17136,16741,16620,16516,16554,16613,16677,16726,16854,16824,16736,16757,16781,16764,16800,16792,16673,16686,16671,16716,16792,16742,16733,16538,16578,16548,16492,16401,16284,16247,16159,15942
41,Douglas,18997,18900,19200,19300,19500,19800,20200,20000,19900,19800,19774,19950,19793,19763,19590,19552,19663,19665,19534,19464,19460,19457,19460,19545,19648,19777,19793,19909,19918,19905,19964,20032,20017,20010,20100,20101,20111,20061,19970,19949,19957,19826,19832,19829,19889,19823,19769,19748
43,DuPage,487966,506400,518900,539500,550400,567800,580200,602900,621500,636600,658876,669770,682289,690201,701251,714497,726512,741405,757986,781689,785768,801291,815497,830865,845797,855531,863785,874404,886168,898083,906284,911474,913880,914078,913940,911378,908685,907426,909798,912732,917911,923352,926933,931522,932708,933736,931153,930128
45,Edgar,21591,21500,21600,21600,21500,21600,21700,21700,21500,21800,21725,22034,21729,21674,21251,20968,20729,20386,20016,19595,19554,19496,19507,19746,19911,20132,20303,20090,20020,19821,19582,19465,19249,19085,19041,18987,18986,18929,18768,18668,18505,18396,18153,17958,17841,17664,17472,17328
47,Edwards,7090,7000,7200,7300,7400,7600,7700,7800,7800,7900,7961,8110,8129,8165,8220,8153,8029,7898,7744,7440,7422,7400,7389,7307,7246,7262,7177,7076,7020,6954,6963,6879,6856,6883,6825,6796,6694,6728,6710,6675,6726,6684,6731,6678,6617,6534,6545,6486
49,Effingham,24608,25400,26000,26400,26800,28000,28700,29500,29900,30400,30944,31616,31167,31400,31208,31354,31282,31370,31494,31704,31759,31945,32140,32419,32827,33120,33498,33704,33910,34164,34248,34334,34281,34408,34497,34365,34289,34191,34173,34275,34197,34253,34322,34306,34320,34371,34182,34132
51,Fayette,20752,21000,21100,21100,21300,21300,21500,21700,22000,22000,22167,22444,22282,22397,22058,21788,21665,21440,21253,20893,20894,20743,20786,20968,21005,21203,21408,21929,21894,21786,21827,21695,21814,21514,21056,21848,21925,21890,22006,22089,22116,22160,22022,22037,21870,22043,21816,21784
53,Ford,16382,15600,15300,15600,15400,15300,15300,15000,15200,15300,15265,15506,15311,15220,15014,14921,14854,14642,14589,14275,14226,14063,14045,13994,14011,14232,14239,14274,14223,14260,14195,14148,14118,14095,14135,14092,14096,14213,14095,14084,14078,13954,13998,13814,13688,13736,13342,13280
55,Franklin,38329,39600,39200,40500,40700,41400,42200,42600,42800,42700,43201,44084,43561,43726,43098,42969,42844,42145,41264,40319,40242,40048,39824,39869,39938,39971,40095,39624,39334,39126,39003,38798,38893,39066,39298,39587,39560,39473,39546,39482,40023,40002,39862,39572,39411,39485,39092,39041
